Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,11491.150391,11554.200195,11158.349609,11174.750000,11174.750000,4008200
2019-10-07,11196.200195,11362.900391,11090.150391,11305.049805,11305.049805,2774100
2019-10-14,11335.900391,11684.700195,11290.049805,11661.849609,11661.849609,3299500
2019-10-21,11657.150391,11714.349609,11490.750000,11583.900391,11583.900391,3044300
2019-10-28,11643.950195,11945.000000,11627.349609,11890.599609,11890.599609,3947000
2019-11-04,11928.900391,12034.150391,11850.250000,11908.150391,11908.150391,3410800
2019-11-11,11879.200195,11973.650391,11802.650391,11895.450195,11895.450195,2347700
2019-11-18,11915.150391,12038.599609,11867.599609,11914.400391,11914.400391,2819500
2019-11-25,11922.450195,12158.799805,11919.750000,12056.049805,12056.049805,3744700
2019-12-02,12137.049805,12137.150391,11888.849609,11921.500000,11921.500000,3245300
2019-12-09,11939.099609,12098.849609,11832.299805,12086.700195,12086.700195,3597300
2019-12-16,12131.349609,12293.900391,12046.299805,12271.799805,12271.799805,2890000
2019-12-23,12235.450195,12287.150391,12118.849609,12245.799805,12245.799805,1979200
2019-12-30,12274.900391,12289.900391,12151.799805,12226.650391,12226.650391,1978600
2020-01-06,12170.599609,12311.200195,11929.599609,12256.799805,12256.799805,2428400
2020-01-13,12296.700195,12389.049805,12278.750000,12352.349609,12352.349609,2699500
2020-01-20,12430.500000,12430.500000,12087.900391,12248.250000,12248.250000,1953400
2020-01-27,12197.099609,12216.599609,11945.849609,11962.099609,11962.099609,2743500
2020-02-03,11627.450195,12160.599609,11614.500000,12098.349609,12098.349609,3026800
2020-02-10,12102.349609,12246.700195,11990.750000,12113.450195,12113.450195,2540400
2020-02-17,12131.799805,12159.599609,11908.049805,12080.849609,12080.849609,1693100
2020-02-24,12012.549805,12012.549805,11175.049805,11201.750000,11201.750000,2937900
2020-03-02,11387.349609,11433.000000,10827.400391,10989.450195,10989.450195,5338500
2020-03-09,10742.049805,10751.549805,8555.150391,9955.200195,9955.200195,5515500
2020-03-16,9587.799805,9602.200195,7832.549805,8745.450195,8745.450195,5347100
2020-03-23,7945.700195,9038.900391,7511.100098,8660.250000,8660.250000,3795900
2020-03-30,8385.950195,8678.299805,8055.799805,8083.799805,8083.799805,2509300
2020-04-06,8446.299805,9131.700195,8360.950195,9111.900391,9111.900391,2452800
2020-04-13,9103.950195,9324.000000,8821.900391,9266.750000,9266.750000,2926700
2020-04-20,9390.200195,9390.849609,8909.400391,9154.400391,9154.400391,3442000
2020-04-27,9259.700195,9889.049805,9250.349609,9859.900391,9859.900391,2711500
2020-05-04,9533.500000,9533.500000,9116.500000,9251.500000,9251.500000,3452700
2020-05-11,9348.150391,9584.500000,9043.950195,9136.849609,9136.849609,3535000
2020-05-18,9158.299805,9178.549805,8806.750000,9039.250000,9039.250000,3464800
2020-05-25,9099.750000,9598.849609,8996.650391,9580.299805,9580.299805,3223400
2020-06-01,9726.849609,10177.799805,9706.950195,10142.150391,10142.150391,4121300
2020-06-08,10326.750000,10328.500000,9544.349609,9972.900391,9972.900391,3834900
2020-06-15,9919.349609,10272.400391,9726.349609,10244.400391,10244.400391,3816400
2020-06-22,10318.750000,10553.150391,10194.500000,10383.000000,10383.000000,3875500
2020-06-29,10311.950195,10631.299805,10223.599609,10607.349609,10607.349609,2826900
2020-07-06,10723.849609,10847.849609,10676.549805,10768.049805,10768.049805,3185300
2020-07-13,10851.849609,10933.450195,10562.900391,10901.700195,10901.700195,3173700
2020-07-20,10999.450195,11239.799805,10953.000000,11194.150391,11194.150391,3391900
2020-07-27,11225.000000,11341.400391,11026.650391,11073.450195,11073.450195,3193100
2020-08-03,11057.549805,11256.799805,10882.250000,11214.049805,11214.049805,3027200
2020-08-10,11270.250000,11373.599609,11111.450195,11178.400391,11178.400391,2895500
2020-08-17,11248.900391,11460.349609,11144.500000,11371.599609,11371.599609,3299700
2020-08-24,11412.000000,11686.049805,11410.650391,11647.599609,11647.599609,3441300
2020-08-31,11777.549805,11794.250000,11303.650391,11333.849609,11333.849609,4037500
2020-09-07,11359.599609,11493.500000,11185.150391,11464.450195,11464.450195,3095600
2020-09-14,11540.150391,11618.099609,11383.549805,11504.950195,11504.950195,2441000
2020-09-21,11503.799805,11535.250000,10790.200195,11050.250000,11050.250000,3255700
2020-09-28,11140.849609,11428.599609,11099.849609,11416.950195,11416.950195,1918100
2020-10-05,11487.799805,11938.599609,11452.299805,11914.200195,11914.200195,2825300
2020-10-12,11973.549805,12025.450195,11661.299805,11762.450195,11762.450195,2714800
2020-10-19,11879.200195,12018.650391,11775.750000,11930.349609,11930.349609,2665900
2020-10-26,11937.400391,11942.849609,11535.450195,11642.400391,11642.400391,2948800
2020-11-02,11697.349609,12280.400391,11557.400391,12263.549805,12263.549805,3119300
2020-11-09,12399.400391,12769.750000,12367.349609,12719.950195,12719.950195,3417300
2020-11-16,12932.500000,12963.000000,12730.250000,12859.049805,12859.049805,2871800
2020-11-23,12960.299805,13145.849609,12790.400391,12968.950195,12968.950195,3596200
2020-11-30,13062.200195,13280.049805,12962.799805,13258.549805,13258.549805,2655500
2020-12-07,13264.849609,13579.349609,13241.950195,13513.849609,13513.849609,2978600
2020-12-14,13571.450195,13773.250000,13447.049805,13760.549805,13760.549805,2453600
2020-12-21,13741.900391,13777.500000,13131.450195,13749.250000,13749.250000,2313600
2020-12-28,13815.150391,14049.849609,13811.549805,14018.500000,14018.500000,2034400
2021-01-04,14104.349609,14367.299805,13953.750000,14347.250000,14347.250000,2792500
2021-01-11,14474.049805,14653.349609,14357.849609,14433.700195,14433.700195,3886300
2021-01-18,14453.299805,14753.549805,14222.799805,14371.900391,14371.900391,3412600
2021-01-25,14477.799805,14491.099609,13596.750000,13634.599609,13634.599609,2670400
2021-02-01,13758.599609,15014.650391,13661.750000,14924.250000,14924.250000,4475300
2021-02-08,15064.299805,15257.099609,14977.200195,15163.299805,15163.299805,3081200
2021-02-15,15270.299805,15431.750000,14898.200195,14981.750000,14981.750000,3092100
2021-02-22,14999.049805,15176.500000,14467.750000,14529.150391,14529.150391,3665300
2021-03-01,14702.500000,15273.150391,14638.549805,14938.099609,14938.099609,2848800
2021-03-08,15002.450195,15336.299805,14919.900391,15030.950195,15030.950195,1573100
2021-03-15,15048.400391,15051.599609,14350.099609,14744.000000,14744.000000,1929100
2021-03-22,14736.299805,14878.599609,14264.400391,14507.299805,14507.299805,2477400
2021-03-29,14628.500000,14883.200195,14617.599609,14867.349609,14867.349609,1503400
2021-04-05,14837.700195,14984.150391,14459.500000,14834.849609,14834.849609,2003900
2021-04-12,14644.650391,14697.700195,14248.700195,14617.849609,14617.849609,2400500
2021-04-19,14306.599609,14526.950195,14151.400391,14341.349609,14341.349609,2002400
2021-04-26,14449.450195,15044.349609,14421.299805,14631.099609,14631.099609,2492900
2021-05-03,14481.049805,14863.049805,14416.250000,14823.150391,14823.150391,2364000
2021-05-10,14928.250000,14966.900391,14591.900391,14677.799805,14677.799805,2433900
2021-05-17,14756.250000,15190.000000,14725.349609,15175.299805,15175.299805,2752600
2021-05-24,15211.349609,15469.650391,15145.450195,15435.650391,15435.650391,1873400
2021-05-31,15437.750000,15733.599609,15374.000000,15670.250000,15670.250000,2098600
2021-06-07,15725.099609,15835.549805,15566.900391,15799.349609,15799.349609,1891400
2021-06-14,15791.400391,15901.599609,15450.900391,15683.349609,15683.349609,2054800
2021-06-21,15525.849609,15895.750000,15505.650391,15860.349609,15860.349609,1592500
2021-06-28,15915.349609,15915.650391,15635.950195,15722.200195,15722.200195,1357500
2021-07-05,15793.400391,15914.200195,15632.750000,15689.799805,15689.799805,1478800
2021-07-12,15766.799805,15962.250000,15644.750000,15923.400391,15923.400391,1024200
2021-07-19,15754.500000,15899.799805,15578.549805,15856.049805,15856.049805,1075800
2021-07-26,15849.299805,15893.349609,15513.450195,15763.049805,15763.049805,1698300
2021-08-02,15874.900391,16349.450195,15834.650391,16238.200195,16238.200195,1751700
2021-08-09,16281.349609,16543.599609,16162.549805,16529.099609,16529.099609,1408500
2021-08-16,16518.400391,16701.849609,16376.049805,16450.500000,16450.500000,1154000
2021-08-23,16592.250000,16722.050781,16395.699219,16705.199219,16705.199219,1287800
2021-08-30,16775.849609,17340.099609,16764.849609,17323.599609,17323.599609,1553600
2021-09-06,17399.349609,17436.500000,17254.199219,17369.250000,17369.250000,965600
2021-09-13,17363.550781,17792.949219,17269.150391,17585.150391,17585.150391,1871300
2021-09-20,17443.849609,17947.650391,17326.099609,17853.199219,17853.199219,1678500
2021-09-27,17932.199219,17943.500000,17452.900391,17532.050781,17532.050781,1940300
2021-10-04,17615.550781,17941.849609,17581.349609,17895.199219,17895.199219,1862600
2021-10-11,17867.550781,18350.750000,17839.099609,18338.550781,18338.550781,1776800
2021-10-18,18500.099609,18604.449219,18034.349609,18114.900391,18114.900391,1900000
2021-10-25,18229.500000,18342.050781,17613.099609,17671.650391,17671.650391,1806000
2021-11-01,17783.150391,18012.250000,17697.099609,17916.800781,17916.800781,957100
2021-11-08,18040.199219,18123.000000,17798.199219,18102.750000,18102.750000,1351700
2021-11-15,18140.949219,18210.150391,17688.500000,17764.800781,17764.800781,1121900
2021-11-22,17796.250000,17805.250000,16985.699219,17026.449219,17026.449219,1575500
2021-11-29,17055.800781,17489.800781,16782.400391,17196.699219,17196.699219,1714800
2021-12-06,17209.050781,17543.250000,16891.699219,17511.300781,17511.300781,1185300
2021-12-13,17619.099609,17639.500000,16966.449219,16985.199219,16985.199219,1316700
2021-12-20,16824.250000,17155.599609,16410.199219,17003.750000,17003.750000,1159100
2021-12-27,16937.750000,17400.800781,16833.199219,17354.050781,17354.050781,970300
2022-01-03,17387.150391,17944.699219,17383.300781,17812.699219,17812.699219,1175200
2022-01-10,17913.300781,18286.949219,17879.150391,18255.750000,18255.750000,1230800
2022-01-17,18235.650391,18350.949219,17485.849609,17617.150391,17617.150391,1306600
